query,intent,entities,response
Is the train from San Francisco to LA running this weekend?,status_query,"{'source': 'San Francisco', 'destination': 'LA', 'date': 'this weekend', 'time': 'evening', 'transport_mode': 'train'}","Yes, the train service from San Francisco to LA is operating normally this weekend."
Is the train from JFK Airport to San Francisco running next Monday?,status_query,"{'source': 'JFK Airport', 'destination': 'San Francisco', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'train'}","Yes, the train service from JFK Airport to San Francisco is operating normally next Monday."
How do I get from San Francisco to Central Park using train?,route_query,"{'source': 'San Francisco', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}",You can take the train from San Francisco to Central Park. It usually takes about 28 minutes.
How do I get from City Center to San Diego using metro?,route_query,"{'source': 'City Center', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'metro'}",You can take the metro from City Center to San Diego. It usually takes about 53 minutes.
How do I get from Union Station to Times Square using metro?,route_query,"{'source': 'Union Station', 'destination': 'Times Square', 'date': 'today', 'time': 'afternoon', 'transport_mode': 'metro'}",You can take the metro from Union Station to Times Square. It usually takes about 30 minutes.
What time is the next bus from JFK Airport to City Center tomorrow night?,schedule_query,"{'source': 'JFK Airport', 'destination': 'City Center', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'bus'}",The next bus from JFK Airport to City Center departs at 11:45 AM on tomorrow.
Is the train from JFK Airport to Manhattan running today?,status_query,"{'source': 'JFK Airport', 'destination': 'Manhattan', 'date': 'today', 'time': 'morning', 'transport_mode': 'train'}","Yes, the train service from JFK Airport to Manhattan is operating normally today."
How do I get from Downtown to City Center using train?,route_query,"{'source': 'Downtown', 'destination': 'City Center', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'train'}",You can take the train from Downtown to City Center. It usually takes about 25 minutes.
What time is the next train from JFK Airport to San Francisco next Monday morning?,schedule_query,"{'source': 'JFK Airport', 'destination': 'San Francisco', 'date': 'next Monday', 'time': 'morning', 'transport_mode': 'train'}",The next train from JFK Airport to San Francisco departs at 8:30 AM on next Monday.
What time is the next metro from San Diego to Union Station tomorrow early morning?,schedule_query,"{'source': 'San Diego', 'destination': 'Union Station', 'date': 'tomorrow', 'time': 'early morning', 'transport_mode': 'metro'}",The next metro from San Diego to Union Station departs at 1:15 PM on tomorrow.
What time is the next metro from Central Park to Times Square tomorrow morning?,schedule_query,"{'source': 'Central Park', 'destination': 'Times Square', 'date': 'tomorrow', 'time': 'morning', 'transport_mode': 'metro'}",The next metro from Central Park to Times Square departs at 1:00 AM on tomorrow.
What time is the next train from San Diego to Central Park this weekend morning?,schedule_query,"{'source': 'San Diego', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'train'}",The next train from San Diego to Central Park departs at 5:15 PM on this weekend.
What time is the next metro from Union Station to Central Park this weekend morning?,schedule_query,"{'source': 'Union Station', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'metro'}",The next metro from Union Station to Central Park departs at 3:15 PM on this weekend.
How do I get from LA to Times Square using bus?,route_query,"{'source': 'LA', 'destination': 'Times Square', 'date': 'today', 'time': 'late night', 'transport_mode': 'bus'}",You can take the bus from LA to Times Square. It usually takes about 27 minutes.
What time is the next train from Union Station to Manhattan this weekend late night?,schedule_query,"{'source': 'Union Station', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}",The next train from Union Station to Manhattan departs at 12:15 AM on this weekend.
How do I get from Downtown to Times Square using metro?,route_query,"{'source': 'Downtown', 'destination': 'Times Square', 'date': 'today', 'time': 'late night', 'transport_mode': 'metro'}",You can take the metro from Downtown to Times Square. It usually takes about 28 minutes.
How do I get from LA to Downtown using train?,route_query,"{'source': 'LA', 'destination': 'Downtown', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'train'}",You can take the train from LA to Downtown. It usually takes about 87 minutes.
What time is the next train from LA to San Diego next Monday night?,schedule_query,"{'source': 'LA', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'train'}",The next train from LA to San Diego departs at 10:00 PM on next Monday.
How do I get from Downtown to San Francisco using metro?,route_query,"{'source': 'Downtown', 'destination': 'San Francisco', 'date': 'today', 'time': 'afternoon', 'transport_mode': 'metro'}",You can take the metro from Downtown to San Francisco. It usually takes about 51 minutes.
How do I get from Central Park to LA using train?,route_query,"{'source': 'Central Park', 'destination': 'LA', 'date': 'today', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from Central Park to LA. It usually takes about 20 minutes.
How do I get from Central Park to San Diego using train?,route_query,"{'source': 'Central Park', 'destination': 'San Diego', 'date': 'today', 'time': 'morning', 'transport_mode': 'train'}",You can take the train from Central Park to San Diego. It usually takes about 27 minutes.
Is the metro from Manhattan to Union Station running tomorrow?,status_query,"{'source': 'Manhattan', 'destination': 'Union Station', 'date': 'tomorrow', 'time': 'late night', 'transport_mode': 'metro'}","Yes, the metro service from Manhattan to Union Station is operating normally tomorrow."
What time is the next bus from San Diego to San Francisco this weekend morning?,schedule_query,"{'source': 'San Diego', 'destination': 'San Francisco', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'bus'}",The next bus from San Diego to San Francisco departs at 12:00 PM on this weekend.
How do I get from Downtown to Brooklyn using metro?,route_query,"{'source': 'Downtown', 'destination': 'Brooklyn', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'metro'}",You can take the metro from Downtown to Brooklyn. It usually takes about 70 minutes.
